,,,,REFRACTIVE INDICES,,,,REFRACTIVE INDICES,,,,REFRACTIVE INDICES,,,,REFRACTIVE INDICES,,,,REFRACTIVE INDICES,,,,ABBE,,ABBE,,DISPERSIONS,,,PARTIAL DISPERSIONS,,,,,,PARTIAL DISPERSIONS,,,,,,RELATIVE PARTIAL DISPERSIONS,,,,,,RELATIVE PARTIAL DISPERSIONS,,,,,,Deviation of Relative Partial Dispesions,,,,,CONSTANTS  OF DISPERSION FORMULA (Sellmeier),,,,,,CONSTANTS  OF DISPERSION FORMULA (Cauchy),,,,,,COLORING,,,INTERNAL  TRANSMISSION COLORING,,CCI,,,INTERNAL  TRANSMISSION  (τ／10mm Thick) ,,,,,,,,,INTERNAL  TRANSMISSION  (τ／10mm Thick) ,,,,,,,,INTERNAL  TRANSMISSION  (τ／10mm Thick) ,,,,,,,,INTERNAL  TRANSMISSION  (τ／10mm Thick) ,,,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,Constants of dn/dT,,,,,,Thermal Properties,,,,,CTEα(10-7/℃),,Conductivity,Mechanical  Properties,,,,,,,Chemical  Properties,,,,,,Bubble Grp,Spec. Gravity
,Glass ,Code(d),Code(e),n2325,n1970,n1530,n1129,nt,ns,nA',nr,nC,nC',nHe-Ne,nD,nd,ne,nF,nF',nHe-Cd,ng,nh,ni,νd,νe,νd,νe,nF-nC,nF-nC,nF'-nC',nC-nt,nC-nA',nd-nC,ne-nC,ng-nd,ng-nF,nh-ng,ni-ng,nC'-nt,ne-nC',nF'-ne,ni-nF',"θC,t","θC,A'","θd,C","θe,C","θg,d","θg,F","θh,g","θi,g","θ'C',t","θ'e,C'","θ'F',e","θ'i,F'","ΔθC,t","ΔθC,A'","Δθg,d","Δθg,F","Δθi,g",A1,A2,A3,B1,B2,B3,A0,A1,A2,A3,A4,A5,λ80,(λ70),λ5,λ0.80,λ0.05,B,G,R,280,290,300,310,320,330,340,350,360,370,380,390,400,420,440,460,480,500,550,600,650,700,800,900,1000,1200,1400,1600,1800,2000,2200,2400,t(-40~-20),t(-20~0),t(0~20),t(20~40),t(40~60),t(60~80),C'(-40~-20),C'(-20~0),C'(0~20),C'(20~40),C'(40~60),C'(60~80),He-Ne(-40~-20),He-Ne(20~0),He-Ne(0~20),He-Ne(20~40),He-Ne(40~60),He-Ne(60~80),D(-40~-20),D(-20~0),D(0~20),D(20~40),D(40~60),D(60~80),e(-40~-20),e(-20~0),e(0~20),e(20~40),e(40~60),e(60~80),F'(-40~-20),F'(-20~0),F'(0~20),F'(20~40),F'(40~60),F'(60~80),g(-40~-20),g(-20~0),g(0~20),g(20~40),g(40~60),g(60~80), D0, D1, D2, E0, E1,λTK,StP（℃）,AP（℃）,Tg（℃）,At（℃）,SP（℃）,(-30~+70),(100~300),k(W/(m･K)),Young's (E) ,Rigidity (G),Poisson's(σ),Knoop (Hk),Group,Abrasion(Aa),β,RW(P),RA(P),W(S)max,W(S)min,SR,PR,B,d
10,S-BSM10,623570,625568,1.592707 ,1.598090 ,1.603863 ,1.608983 ,1.610689 ,1.613679 ,1.615730 ,1.617611 ,1.619489 ,1.620015 ,1.620507 ,1.622702 ,1.622799 ,1.625401 ,1.630405 ,1.631029 ,1.635578 ,1.636369 ,1.641329 ,1.649797 ,57.0 ,56.8 ,57.05 ,56.78 ,0.01092 ,0.010916 ,0.011014 ,0.008800 ,0.003759 ,0.003310 ,0.005912 ,0.013570 ,0.005964 ,0.004960 ,0.013428 ,0.009326 ,0.005386 ,0.005628 ,0.018768 ,0.8062 ,0.3444 ,0.3032 ,0.5416 ,1.2431 ,0.5464 ,0.4544 ,1.2301 ,0.8467 ,0.4890 ,0.5110 ,1.7040 ,-0.0082 ,-0.0006 ,-0.0031 ,-0.0028 ,-0.0172 ,9.45443081E-01,6.43237376E-01,1.17752968E+00,1.57263798E-02,1.61924066E-03,1.21361748E+02,,,,,,,350 ,,305 ,345 ,309 ,0.00 ,0.17 ,0.15 ,,,,0.080 ,0.310 ,0.570 ,0.750 ,0.860 ,0.929 ,0.962 ,0.977 ,0.986 ,0.991 ,0.994 ,0.995 ,0.996 ,0.997 ,0.998 ,0.998 ,0.998 ,0.997 ,0.998 ,0.998 ,0.998 ,0.997 ,0.997 ,0.990 ,0.993 ,0.985 ,0.971 ,0.913 ,0.820 ,2.0 ,2.1 ,2.2 ,2.2 ,2.3 ,2.4 ,2.4 ,2.5 ,2.6 ,2.6 ,2.7 ,2.8 ,2.4 ,2.5 ,2.6 ,2.7 ,2.8 ,2.8 ,2.5 ,2.6 ,2.7 ,2.8 ,2.9 ,3.0 ,2.6 ,2.7 ,2.8 ,2.9 ,3.0 ,3.1 ,3.0 ,3.1 ,3.2 ,3.3 ,3.4 ,3.5 ,3.3 ,3.4 ,3.5 ,3.6 ,3.8 ,3.9 ,1.16E-06,1.34E-08,-3.75E-11,4.33E-07,3.86E-10,2.13E-01,622 ,650 ,668 ,709 ,773 ,65 ,76 ,0.822 ,835 ,330 ,0.266 ,550 ,6 ,142 ,1.88 ,1 ,3 ,2 ,,51.2 ,1.0 ,,3.60 
11,S-BSM14,603607,605604,1.573000 ,1.578797 ,1.584908 ,1.590128 ,1.591804 ,1.594671 ,1.596597 ,1.598346 ,1.600079 ,1.600562 ,1.601014 ,1.603023 ,1.603112 ,1.605484 ,1.610024 ,1.610589 ,1.614696 ,1.615409 ,1.619870 ,1.627452 ,60.7 ,60.4 ,60.64 ,60.39 ,0.00994 ,0.009945 ,0.010027 ,0.008275 ,0.003482 ,0.003033 ,0.005405 ,0.012297 ,0.005385 ,0.004461 ,0.012043 ,0.008758 ,0.004922 ,0.005105 ,0.016863 ,0.8321 ,0.3501 ,0.3050 ,0.5435 ,1.2365 ,0.5415 ,0.4486 ,1.2110 ,0.8734 ,0.4909 ,0.5091 ,1.6818 ,0.0009 ,0.0007 ,-0.0023 ,-0.0019 ,-0.0062 ,1.28286270E+00,2.47647429E-01,1.10383999E+00,1.22902399E-02,-6.13142361E-03,1.06883378E+02,,,,,,,350 ,,295 ,339 ,306 ,0.00 ,0.19 ,0.20 ,,,,0.170 ,0.450 ,0.680 ,0.820 ,0.906 ,0.948 ,0.968 ,0.980 ,0.987 ,0.991 ,0.994 ,0.994 ,0.995 ,0.996 ,0.997 ,0.998 ,0.998 ,0.998 ,0.998 ,0.999 ,0.998 ,0.998 ,0.998 ,0.990 ,0.995 ,0.988 ,0.976 ,0.919 ,0.810 ,2.5 ,2.5 ,2.6 ,2.6 ,2.7 ,2.7 ,2.7 ,2.8 ,2.9 ,2.9 ,3.0 ,3.1 ,2.7 ,2.8 ,2.9 ,3.0 ,3.1 ,3.1 ,2.8 ,2.9 ,3.0 ,3.1 ,3.2 ,3.3 ,2.9 ,3.0 ,3.1 ,3.2 ,3.3 ,3.4 ,3.1 ,3.3 ,3.4 ,3.5 ,3.6 ,3.8 ,3.4 ,3.5 ,3.7 ,3.8 ,4.0 ,4.1 ,2.13E-06,1.22E-08,-3.98E-11,3.47E-07,7.94E-10,2.30E-01,614 ,641 ,663 ,698 ,757 ,62 ,73 ,0.891 ,849 ,338 ,0.257 ,570 ,6 ,131 ,2.01 ,1 ,4 ,3 ,,51.2 ,2.2 ,,3.43 
12,S-BSM15,623582,626579,1.592358 ,1.597974 ,1.603995 ,1.609268 ,1.610998 ,1.613994 ,1.616030 ,1.617889 ,1.619739 ,1.620257 ,1.620740 ,1.622897 ,1.622992 ,1.625545 ,1.630450 ,1.631062 ,1.635521 ,1.636296 ,1.641162 ,1.649482 ,58.2 ,57.9 ,58.16 ,57.89 ,0.01071 ,0.010711 ,0.010805 ,0.008741 ,0.003709 ,0.003253 ,0.005806 ,0.013304 ,0.005846 ,0.004866 ,0.013186 ,0.009259 ,0.005288 ,0.005517 ,0.018420 ,0.8161 ,0.3463 ,0.3037 ,0.5421 ,1.2421 ,0.5458 ,0.4543 ,1.2311 ,0.8569 ,0.4894 ,0.5106 ,1.7048 ,-0.0035 ,-0.0001 ,-0.0018 ,-0.0016 ,-0.0069 ,9.53128328E-01,6.37613977E-01,1.65245647E+00,3.87638985E-03,1.85094632E-02,1.59442367E+02,,,,,,,360 ,,320 ,357 ,327 ,0.00 ,0.32 ,0.30 ,,,,,,0.130 ,0.440 ,0.700 ,0.850 ,0.926 ,0.959 ,0.976 ,0.985 ,0.991 ,0.992 ,0.994 ,0.995 ,0.997 ,0.998 ,0.997 ,0.997 ,0.998 ,0.998 ,0.998 ,0.998 ,0.998 ,0.991 ,0.994 ,0.987 ,0.973 ,0.918 ,0.810 ,1.3 ,1.4 ,1.4 ,1.5 ,1.6 ,1.6 ,1.6 ,1.7 ,1.8 ,1.9 ,2.0 ,2.1 ,1.6 ,1.7 ,1.8 ,1.9 ,2.0 ,2.1 ,1.7 ,1.8 ,1.9 ,2.0 ,2.1 ,2.2 ,1.8 ,1.9 ,2.0 ,2.2 ,2.3 ,2.4 ,2.1 ,2.2 ,2.4 ,2.5 ,2.6 ,2.8 ,2.4 ,2.5 ,2.7 ,2.8 ,3.0 ,3.1 ,-3.24E-07,1.31E-08,-3.71E-11,4.21E-07,6.87E-10,2.07E-01,615 ,639 ,658 ,685 ,746 ,65 ,78 ,0.845 ,854 ,338 ,0.265 ,560 ,6 ,133 ,1.80 ,2 ,4 ,2 ,3 ,52.2 ,3.2 ,,3.60 
13,S-BSM16,620603,623601,1.589567 ,1.595450 ,1.601678 ,1.607023 ,1.608745 ,1.611695 ,1.613681 ,1.615486 ,1.617276 ,1.617775 ,1.618242 ,1.620319 ,1.620411 ,1.622865 ,1.627566 ,1.628151 ,1.632410 ,1.633150 ,1.637782 ,1.645670 ,60.3 ,60.1 ,60.29 ,60.03 ,0.01029 ,0.010290 ,0.010376 ,0.008531 ,0.003595 ,0.003135 ,0.005589 ,0.012739 ,0.005584 ,0.004632 ,0.012520 ,0.009030 ,0.005090 ,0.005286 ,0.017519 ,0.8291 ,0.3494 ,0.3047 ,0.5431 ,1.2380 ,0.5427 ,0.4501 ,1.2167 ,0.8703 ,0.4906 ,0.5094 ,1.6884 ,-0.0005 ,0.0004 ,-0.0015 ,-0.0012 ,-0.0035 ,1.14490383E+00,4.39563911E-01,1.27688079E+00,1.37034916E-02,-1.86514205E-03,1.19535585E+02,,,,,,,350 ,,305 ,346 ,312 ,0.00 ,0.28 ,0.23 ,,,,0.010 ,0.180 ,0.490 ,0.720 ,0.850 ,0.924 ,0.959 ,0.976 ,0.984 ,0.989 ,0.992 ,0.993 ,0.994 ,0.996 ,0.997 ,0.999 ,0.998 ,0.997 ,0.998 ,0.999 ,0.999 ,0.999 ,0.999 ,0.992 ,0.995 ,0.987 ,0.972 ,0.911 ,0.790 ,1.2 ,1.2 ,1.3 ,1.4 ,1.4 ,1.6 ,1.4 ,1.5 ,1.6 ,1.7 ,1.8 ,1.9 ,1.5 ,1.6 ,1.6 ,1.7 ,1.8 ,1.9 ,1.6 ,1.7 ,1.8 ,1.9 ,2.0 ,2.1 ,1.7 ,1.8 ,1.9 ,2.0 ,2.1 ,2.2 ,1.9 ,2.1 ,2.2 ,2.3 ,2.4 ,2.5 ,2.2 ,2.3 ,2.5 ,2.6 ,2.7 ,2.9 ,-5.59E-07,1.35E-08,-3.47E-11,4.00E-07,5.04E-10,2.01E-01,606 ,634 ,657 ,689 ,738 ,67 ,76 ,0.835 ,878 ,348 ,0.262 ,570 ,6 ,146 ,1.81 ,3 ,5 ,2 ,3 ,53.2 ,4.2 ,,3.59 
14,S-BSM18,639554,641551,1.607787 ,1.613142 ,1.618917 ,1.624110 ,1.625863 ,1.628964 ,1.631105 ,1.633078 ,1.635051 ,1.635605 ,1.636123 ,1.638437 ,1.638539 ,1.641287 ,1.646582 ,1.647243 ,1.652067 ,1.652906 ,1.658177 ,1.667197 ,55.4 ,55.1 ,55.38 ,55.10 ,0.01153 ,0.011531 ,0.011638 ,0.009188 ,0.003946 ,0.003488 ,0.006236 ,0.014367 ,0.006324 ,0.005271 ,0.014291 ,0.009742 ,0.005682 ,0.005956 ,0.019954 ,0.7968 ,0.3422 ,0.3025 ,0.5408 ,1.2459 ,0.5484 ,0.4571 ,1.2394 ,0.8371 ,0.4882 ,0.5118 ,1.7146 ,-0.0097 ,-0.0008 ,-0.0038 ,-0.0035 ,-0.0219 ,9.27886025E-01,7.08858526E-01,1.18610897E+00,4.17549199E-03,1.84691838E-02,1.22210416E+02,,,,,,,350 ,,305 ,345 ,309 ,0.00 ,0.21 ,0.22 ,,,,0.080 ,0.310 ,0.570 ,0.750 ,0.860 ,0.929 ,0.961 ,0.977 ,0.985 ,0.990 ,0.993 ,0.994 ,0.995 ,0.996 ,0.997 ,0.998 ,0.998 ,0.998 ,0.998 ,0.998 ,0.998 ,0.997 ,0.997 ,0.993 ,0.994 ,0.986 ,0.973 ,0.924 ,0.840 ,1.8 ,1.8 ,1.9 ,1.9 ,2.0 ,2.1 ,2.2 ,2.3 ,2.4 ,2.4 ,2.5 ,2.6 ,2.3 ,2.3 ,2.4 ,2.5 ,2.5 ,2.6 ,2.4 ,2.4 ,2.5 ,2.6 ,2.7 ,2.8 ,2.5 ,2.6 ,2.7 ,2.8 ,2.9 ,2.9 ,2.9 ,3.0 ,3.1 ,3.2 ,3.3 ,3.4 ,3.2 ,3.3 ,3.4 ,3.5 ,3.7 ,3.8 ,3.50E-07,1.22E-08,-3.26E-11,5.94E-07,6.22E-10,1.41E-01,567 ,600 ,613 ,655 ,717 ,70 ,84 ,0.815 ,885 ,349 ,0.268 ,570 ,6 ,159 ,1.79 ,1 ,3 ,2 ,,51.2 ,2.0 ,,3.69 
15,S-BSM25,658509,662506,1.626133 ,1.631451 ,1.637266 ,1.642641 ,1.644504 ,1.647850 ,1.650192 ,1.652366 ,1.654553 ,1.655168 ,1.655744 ,1.658327 ,1.658441 ,1.661522 ,1.667495 ,1.668244 ,1.673732 ,1.674691 ,1.680740 ,1.691207 ,50.9 ,50.6 ,50.88 ,50.59 ,0.01294 ,0.012942 ,0.013076 ,0.010049 ,0.004361 ,0.003888 ,0.006969 ,0.016250 ,0.007196 ,0.006049 ,0.016516 ,0.010664 ,0.006354 ,0.006722 ,0.022963 ,0.7765 ,0.3370 ,0.3004 ,0.5385 ,1.2556 ,0.5560 ,0.4674 ,1.2762 ,0.8155 ,0.4859 ,0.5141 ,1.7561 ,-0.0089 ,-0.0005 ,-0.0034 ,-0.0031 ,-0.0228 ,1.34814257E+00,3.47530319E-01,1.38798368E+00,6.95364366E-03,2.77863478E-02,1.42138122E+02,,,,,,,375 ,,330 ,367 ,331 ,0.00 ,0.71 ,0.70 ,,,,,,0.030 ,0.190 ,0.480 ,0.710 ,0.840 ,0.910 ,0.945 ,0.964 ,0.980 ,0.984 ,0.988 ,0.991 ,0.994 ,0.996 ,0.995 ,0.995 ,0.996 ,0.997 ,0.997 ,0.996 ,0.997 ,0.995 ,0.995 ,0.989 ,0.980 ,0.947 ,0.870 ,3.4 ,3.5 ,3.6 ,3.6 ,3.7 ,3.8 ,3.8 ,3.9 ,4.0 ,4.1 ,4.2 ,4.2 ,3.9 ,3.9 ,4.0 ,4.1 ,4.2 ,4.3 ,4.0 ,4.1 ,4.2 ,4.3 ,4.4 ,4.5 ,4.2 ,4.3 ,4.4 ,4.5 ,4.6 ,4.7 ,4.7 ,4.8 ,4.9 ,5.0 ,5.1 ,5.2 ,5.1 ,5.3 ,5.4 ,5.5 ,5.7 ,5.8 ,3.67E-06,1.31E-08,-3.66E-11,4.35E-07,3.40E-10,2.71E-01,605 ,630 ,638 ,686 ,760 ,68 ,82 ,0.891 ,951 ,374 ,0.272 ,560 ,6 ,123 ,2.08 ,1 ,2 ,2 ,,5.2 ,1.0 ,,3.50 
16,S-BSM28,618498,621495,1.586525 ,1.591726 ,1.597396 ,1.602601 ,1.604393 ,1.607600 ,1.609839 ,1.611916 ,1.614005 ,1.614593 ,1.615144 ,1.617613 ,1.617722 ,1.620671 ,1.626406 ,1.627127 ,1.632424 ,1.633354 ,1.639236 ,1.649533 ,49.8 ,49.5 ,49.81 ,49.52 ,0.01240 ,0.012401 ,0.012534 ,0.009612 ,0.004166 ,0.003717 ,0.006666 ,0.015632 ,0.006948 ,0.005882 ,0.016179 ,0.010200 ,0.006078 ,0.006456 ,0.022406 ,0.7751 ,0.3359 ,0.2997 ,0.5375 ,1.2605 ,0.5603 ,0.4743 ,1.3047 ,0.8138 ,0.4849 ,0.5151 ,1.7876 ,-0.0053 ,-0.0003 ,-0.0008 ,-0.0006 ,-0.0032 ,1.43822841E+00,1.28100017E-01,1.34355530E+00,8.59779750E-03,4.08617854E-02,1.43709890E+02,,,,,,,385 ,,340 ,375 ,341 ,0.00 ,1.01 ,1.02 ,,,,,,,0.020 ,0.240 ,0.540 ,0.740 ,0.850 ,0.918 ,0.950 ,0.975 ,0.982 ,0.987 ,0.990 ,0.993 ,0.997 ,0.996 ,0.996 ,0.997 ,0.997 ,0.997 ,0.996 ,0.996 ,0.994 ,0.995 ,0.988 ,0.978 ,0.944 ,0.880 ,0.5 ,0.6 ,0.7 ,0.7 ,0.8 ,0.8 ,0.9 ,1.0 ,1.1 ,1.1 ,1.2 ,1.3 ,1.0 ,1.0 ,1.1 ,1.2 ,1.2 ,1.3 ,1.1 ,1.2 ,1.2 ,1.3 ,1.4 ,1.5 ,1.3 ,1.4 ,1.5 ,1.5 ,1.6 ,1.7 ,1.7 ,1.8 ,1.9 ,2.0 ,2.1 ,2.2 ,2.1 ,2.3 ,2.4 ,2.5 ,2.6 ,2.8 ,-2.01E-06,1.24E-08,-3.72E-11,4.79E-07,4.64E-10,2.64E-01,530 ,559 ,578 ,618 ,680 ,84 ,96 ,0.878 ,853 ,339 ,0.258 ,540 ,5 ,168 ,2.05 ,2 ,3 ,3 ,,51.2 ,3.0 ,,3.23 
17,S-BSM71,649530,651527,1.616566 ,1.622049 ,1.627986 ,1.633359 ,1.635184 ,1.638422 ,1.640665 ,1.642737 ,1.644815 ,1.645399 ,1.645945 ,1.648390 ,1.648498 ,1.651410 ,1.657046 ,1.657752 ,1.662927 ,1.663831 ,1.669537 ,1.679430 ,53.0 ,52.7 ,53.02 ,52.73 ,0.01223 ,0.012231 ,0.012353 ,0.009631 ,0.004150 ,0.003683 ,0.006595 ,0.015333 ,0.006785 ,0.005706 ,0.015599 ,0.010215 ,0.006011 ,0.006342 ,0.021678 ,0.7874 ,0.3393 ,0.3011 ,0.5392 ,1.2536 ,0.5547 ,0.4665 ,1.2754 ,0.8269 ,0.4866 ,0.5134 ,1.7549 ,-0.0080 ,-0.0008 ,-0.0010 ,-0.0010 ,-0.0057 ,1.50847885E+00,1.58099826E-01,1.36815368E+00,8.12769076E-03,3.54200898E-02,1.36110038E+02,,,,,,,375 ,,335 ,366 ,337 ,0.00 ,0.59 ,0.55 ,,,,,,,0.150 ,0.470 ,0.720 ,0.860 ,0.926 ,0.958 ,0.973 ,0.985 ,0.988 ,0.990 ,0.993 ,0.995 ,0.998 ,0.997 ,0.996 ,0.997 ,0.998 ,0.998 ,0.997 ,0.997 ,0.993 ,0.993 ,0.985 ,0.972 ,0.925 ,0.820 ,1.3 ,1.2 ,1.3 ,1.4 ,1.5 ,1.6 ,1.5 ,1.6 ,1.8 ,2.0 ,2.2 ,2.5 ,1.6 ,1.6 ,1.8 ,2.0 ,2.2 ,2.5 ,1.7 ,1.8 ,1.9 ,2.1 ,2.4 ,2.7 ,1.8 ,1.9 ,2.1 ,2.3 ,2.6 ,2.9 ,2.1 ,2.3 ,2.5 ,2.8 ,3.1 ,3.5 ,2.6 ,2.7 ,3.0 ,3.2 ,3.5 ,3.9 ,-8.87E-07,1.45E-08,2.75E-12,6.65E-07,1.72E-09,1.46E-01,607 ,635 ,651 ,687 ,737 ,71 ,83 ,0.773 ,862 ,339 ,0.273 ,560 ,6 ,173 ,1.81 ,1 ,4 ,2 ,3 ,53.2 ,4.0 ,,3.74 
18,S-BSM81,640601,643599,1.603848 ,1.611382 ,1.619168 ,1.625552 ,1.627518 ,1.630785 ,1.632926 ,1.634845 ,1.636728 ,1.637252 ,1.637740 ,1.639904 ,1.639999 ,1.642540 ,1.647381 ,1.647982 ,1.652345 ,1.653102 ,1.657832 ,1.665863 ,60.1 ,59.9 ,60.08 ,59.88 ,0.01065 ,0.010653 ,0.010730 ,0.009210 ,0.003802 ,0.003271 ,0.005812 ,0.013103 ,0.005721 ,0.004730 ,0.012761 ,0.009734 ,0.005288 ,0.005442 ,0.017881 ,0.8645 ,0.3569 ,0.3070 ,0.5456 ,1.2300 ,0.5370 ,0.4440 ,1.1979 ,0.9072 ,0.4928 ,0.5072 ,1.6664 ,0.0359 ,0.0082 ,-0.0100 ,-0.0073 ,-0.0240 ,9.96356844E-01,6.51392837E-01,1.22432622E+00,1.44821587E-02,1.54826389E-03,8.99818604E+01,,,,,,,370 ,,305 ,358 ,303 ,0.00 ,0.55 ,0.49 ,,0.010 ,0.030 ,0.100 ,0.210 ,0.380 ,0.560 ,0.710 ,0.820 ,0.890 ,0.934 ,0.957 ,0.970 ,0.981 ,0.985 ,0.989 ,0.992 ,0.995 ,0.995 ,0.992 ,0.993 ,0.995 ,0.997 ,0.997 ,0.996 ,0.996 ,0.993 ,0.994 ,0.985 ,0.961 ,0.870 ,0.610 ,2.8 ,2.9 ,3.0 ,3.2 ,3.2 ,3.2 ,3.1 ,3.2 ,3.3 ,3.5 ,3.6 ,3.7 ,3.1 ,3.2 ,3.4 ,3.5 ,3.6 ,3.7 ,3.3 ,3.4 ,3.5 ,3.6 ,3.7 ,3.8 ,3.3 ,3.5 ,3.6 ,3.7 ,3.9 ,4.0 ,3.6 ,3.7 ,3.9 ,4.0 ,4.2 ,4.4 ,3.8 ,4.0 ,4.2 ,4.3 ,4.5 ,4.7 ,2.81E-06,1.37E-08,-4.03E-11,3.96E-07,7.56E-10,1.82E-01,604 ,624 ,653 ,679 ,721 ,58 ,72 ,1.001 ,1057 ,416 ,0.271 ,660 ,7 ,84 ,2.00 ,4 ,4 ,3 ,,53.0 ,4.0 ,,3.06 
19,S-NSL 3,518590,520586,1.492729 ,1.497466 ,1.502520 ,1.506916 ,1.508350 ,1.510826 ,1.512504 ,1.514034 ,1.515556 ,1.515981 ,1.516379 ,1.518151 ,1.518229 ,1.520326 ,1.524354 ,1.524856 ,1.528518 ,1.529155 ,1.533151 ,1.539987 ,59.0 ,58.6 ,58.90 ,58.63 ,0.00879 ,0.008798 ,0.008875 ,0.007206 ,0.003052 ,0.002673 ,0.004770 ,0.010926 ,0.004801 ,0.003996 ,0.010832 ,0.007631 ,0.004345 ,0.004530 ,0.015131 ,0.8190 ,0.3469 ,0.3038 ,0.5422 ,1.2419 ,0.5457 ,0.4542 ,1.2312 ,0.8598 ,0.4896 ,0.5104 ,1.7049 ,-0.0040 ,-0.0004 ,-0.0005 ,-0.0005 ,-0.0006 ,8.82514764E-01,3.89271907E-01,1.10693448E+00,4.64504582E-03,2.00551397E-02,1.36234339E+02,,,,,,,340 ,,310 ,340 ,317 ,0.00 ,0.09 ,0.06 ,,,,,0.150 ,0.530 ,0.800 ,0.924 ,0.968 ,0.984 ,0.990 ,0.995 ,0.997 ,0.997 ,0.997 ,0.997 ,0.998 ,0.998 ,0.999 ,0.999 ,0.998 ,0.998 ,0.998 ,0.998 ,0.997 ,0.997 ,0.992 ,0.991 ,0.968 ,0.930 ,0.860 ,0.810 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.3 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.6 ,0.7 ,0.7 ,0.7 ,0.7 ,0.7 ,0.7 ,0.8 ,0.8 ,0.8 ,0.8 ,0.9 ,0.9 ,0.9 ,1.0 ,1.1 ,1.1 ,1.2 ,1.2 ,1.3 ,1.3 ,1.4 ,1.4 ,1.5 ,1.6 ,1.6 ,1.7 ,-2.94E-06,1.06E-08,-3.57E-11,4.22E-07,5.70E-10,2.49E-01,455 ,492 ,500 ,553 ,668 ,90 ,110 ,1.026 ,700 ,288 ,0.217 ,510 ,5 ,111 ,2.60 ,3 ,1 ,1 ,,1.0 ,1.0 ,,2.48 
20,S-NSL36,517524,520522,1.490037 ,1.495009 ,1.500335 ,1.505014 ,1.506557 ,1.509244 ,1.511079 ,1.512763 ,1.514444 ,1.514916 ,1.515357 ,1.517330 ,1.517417 ,1.519765 ,1.524313 ,1.524884 ,1.529071 ,1.529804 ,1.534439 ,1.542519 ,52.4 ,52.2 ,52.43 ,52.14 ,0.00987 ,0.009869 ,0.009968 ,0.007887 ,0.003365 ,0.002973 ,0.005321 ,0.012387 ,0.005491 ,0.004635 ,0.012715 ,0.008359 ,0.004849 ,0.005119 ,0.017635 ,0.7992 ,0.3410 ,0.3012 ,0.5392 ,1.2551 ,0.5564 ,0.4697 ,1.2884 ,0.8386 ,0.4865 ,0.5135 ,1.7692 ,0.0065 ,0.0016 ,-0.0007 ,-0.0002 ,0.0024 ,1.09666153E+00,1.68990073E-01,1.20580827E+00,6.67491123E-03,3.36095450E-02,1.41668738E+02,,,,,,,360 ,,335 ,360 ,337 ,0.00 ,0.22 ,0.20 ,,,,,,,0.180 ,0.570 ,0.810 ,0.917 ,0.960 ,0.980 ,0.989 ,0.995 ,0.996 ,0.997 ,0.998 ,0.998 ,0.999 ,0.999 ,0.998 ,0.998 ,0.999 ,0.998 ,0.998 ,0.998 ,0.996 ,0.994 ,0.978 ,0.950 ,0.890 ,0.860 ,1.8 ,1.8 ,1.8 ,1.9 ,1.9 ,1.9 ,2.2 ,2.2 ,2.2 ,2.3 ,2.3 ,2.3 ,2.2 ,2.2 ,2.3 ,2.3 ,2.3 ,2.3 ,2.3 ,2.3 ,2.4 ,2.4 ,2.5 ,2.5 ,2.5 ,2.5 ,2.6 ,2.6 ,2.7 ,2.7 ,2.8 ,2.9 ,2.9 ,3.0 ,3.1 ,3.1 ,3.2 ,3.3 ,3.3 ,3.4 ,3.5 ,3.6 ,6.73E-07,1.17E-08,-4.11E-11,5.17E-07,5.13E-10,2.41E-01,429 ,465 ,464 ,522 ,655 ,80 ,93 ,1.089 ,640 ,281 ,0.139 ,480 ,5 ,103 ,2.82 ,1 ,1 ,1 ,,1.0 ,1.0 ,B,2.46 
