,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.11.01
Glass Type,Code,,Refractive Index,,,,,,,,,,,,Abbe Number,,,Dispersions,,Partial Dispersions,,,,,,Relative Partial Dispersions,,,,,,"Deviation of Relative Partial Dispersions delta P from ""Normal""",,Constants of Dispersion Formula,,,,,,,,,,Specific Gravity,,,,,,,,,,Coloring ,,Internal Transmittance (T 10mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bubble Quality Group,Notes,
,Code(d),Code(e),nA',nr,nC,nC',nHe-Ne,nD,nd,ne,nF,nF',ng,nh,vd,ve,vg,nF-nC,nF'-nC',nd-nC,ne-nd,ng-nd,ng-nF,nd-nC',nF'-nd,"Pd,C","Pe,d","Pg,F","P'd,C'","P'e,d","P'g,F'","delta Pg,d","delta Pg,F",A0,A1,A2,A3,A4,A5,A6,Expansion Coefficients,Transformation Temperature,Yield Point,,Water Resistance (Powder),Acid Resistance (Powder),Acid Resistance (Surface),Knoop Hardness,Abrasion,Photoelastic Constant,Young's Modulus,Rigidity Modulus,Poisson's Ratio,lambda80/lambda5,lambda70/lambda5,lambda80/lambda5,280nm,290nm,300nm,310nm,320nm,330nm,340nm,350nm,360nm,370nm,380nm,390nm,400nm,420nm,440nm,460nm,480nm,500nm,550nm,600nm,650nm,700nm,800nm,900nm,1000nm,1200nm,1400nm,1600nm,1800nm,2000nm,2200nm,2400nm,,,
E-BAK1,572577,575575,1.56604 ,1.56778 ,1.56950 ,1.56998 ,1.57042 ,1.57241 ,1.57250 ,1.57486 ,1.57941 ,1.57998 ,1.58485 ,1.58936 ,57.74 ,57.45 ,46.37 ,0.009916 ,0.010006 ,0.003002 ,0.002361 ,0.012346 ,0.005432 ,0.002524 ,0.007482 ,0.3027 ,0.2381 ,0.5478 ,0.2522 ,0.2360 ,0.4861 ,0.0008 ,0.0003 ,2.44353274E+00,-1.61455184E-02,8.81927898E-03,1.44687542E-03,-1.36331798E-04,6.03309808E-06,0.00000000E+00,85,597,654,3.16 ,1,1,,597(6),98,,,,,33/29,,324/291,,0.04,0.23,0.52,0.74,0.87,0.933,0.963,0.983,0.991,0.995,0.997,0.997,0.999,0.997,0.998,0.999,0.999,0.999,0.999,0.999,0.999,,,,,,,,,,,1,Y,TEST POT DATA
E-BAK2,540595,542592,1.53404 ,1.53562 ,1.53719 ,1.53763 ,1.53804 ,1.53988 ,1.53996 ,1.54212 ,1.54628 ,1.54679 ,1.55122 ,1.55532 ,59.45 ,59.19 ,47.95 ,0.009082 ,0.009159 ,0.002762 ,0.002165 ,0.011262 ,0.004942 ,0.002322 ,0.006837 ,0.3041 ,0.2384 ,0.5442 ,0.2535 ,0.2364 ,0.4831 ,-0.0005 ,-0.0004 ,2.33664322E+00,-8.62588382E-03,1.25079902E-02,1.75550187E-04,4.02268677E-06,-3.58785019E-08,0.00000000E+00,85,554,605,2.79 ,1,1,,524(5),116,,,,,33/29,,320/288,,0.08,0.33,0.61,0.82,0.919,0.972,0.996,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.986,0.925,0.89,1,Y,TEST POT DATA
E-BAK4,569563,571561,1.56230 ,1.56404 ,1.56577 ,1.56626 ,1.56671 ,1.56874 ,1.56883 ,1.57124 ,1.57587 ,1.57645 ,1.58141 ,1.58604 ,56.34 ,56.06 ,45.22 ,0.010097 ,0.010190 ,0.003058 ,0.002406 ,0.012580 ,0.005541 ,0.002572 ,0.007618 ,0.3029 ,0.2383 ,0.5488 ,0.2524 ,0.2361 ,0.4869 ,-0.0013 ,-0.0010 ,2.42204740E+00,-9.35286439E-03,1.38282404E-02,2.92097262E-04,-5.77819731E-06,7.05644888E-07,0.00000000E+00,83,578,627,3.07 ,2,1,,551(6),149,,,,,36/32,,353/329,,,,,0.04,0.30,0.64,0.84,0.932,0.977,0.994,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.980,0.935,0.89,1,Y,TEST POT DATA
E-K3,518589,520587,1.51250 ,1.51403 ,1.51555 ,1.51598 ,1.51638 ,1.51815 ,1.51823 ,1.52032 ,1.52435 ,1.52485 ,1.52915 ,1.53315 ,58.94 ,58.67 ,47.46 ,0.008793 ,0.008869 ,0.002674 ,0.002096 ,0.010919 ,0.004800 ,0.002248 ,0.006621 ,0.3041 ,0.2384 ,0.5459 ,0.2535 ,0.2363 ,0.4846 ,0.0001 ,0.0004 ,2.27078330E+00,-7.72009861E-03,1.26286148E-02,-4.60005382E-05,3.30622876E-05,-1.37462973E-06,0.00000000E+00,112,475,538,2.50 ,3,2,,434(4),109,,,,,34/31,,340/318,,,,0.11,0.42,0.70,0.86,0.930,0.966,0.984,0.989,0.994,0.997,0.997,0.996,0.996,0.997,0.998,0.999,0.999,0.997,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.976,0.950,0.897,0.857,1,Y,TEST POT DATA
E-K5,522597,525595,1.51686 ,1.51832 ,1.51982 ,1.52025 ,1.52064 ,1.52241 ,1.52249 ,1.52458 ,1.52857 ,1.52907 ,1.53335 ,1.53732 ,59.73 ,59.46 ,48.09 ,0.008747 ,0.008823 ,0.002665 ,0.002086 ,0.010864 ,0.004782 ,0.002242 ,0.006581 ,0.3047 ,0.2385 ,0.5467 ,0.2541 ,0.2364 ,0.4854 ,0.0021 ,0.0026 ,2.25937934E+00,9.09050374E-03,2.63394215E-02,-3.77741843E-03,5.22870195E-04,-2.62918185E-05,0.00000000E+00,108,534,585,2.55 ,3,1,,476(5),123,,,,,33/29,,323/291,,0.04,0.24,0.55,0.79,0.916,0.974,0.998,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.988,0.956,0.900,0.86,1,Y,TEST POT DATA
E-KF6,517523,520520,1.51111 ,1.51276 ,1.51444 ,1.51491 ,1.51535 ,1.51733 ,1.51742 ,1.51977 ,1.52433 ,1.52490 ,1.52983 ,1.53444 ,52.31 ,52.02 ,41.70 ,0.009892 ,0.009991 ,0.002984 ,0.002354 ,0.012407 ,0.005499 ,0.002511 ,0.007480 ,0.3017 ,0.2380 ,0.5559 ,0.2513 ,0.2356 ,0.4931 ,-0.0015 ,-0.0007 ,2.24955402E+00,2.26224485E-03,2.21746519E-02,-2.28248782E-03,3.44437297E-04,-1.73774146E-05,0.00000000E+00,87,498,569,2.48 ,1,1,,411(4),104,,,,,36/34,,360/337,,,,,,,0.20,0.65,0.88,0.956,0.978,0.989,0.994,0.996,0.997,0.998,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.984,0.994,0.983,0.984,0.923,0.923,1,Y,TEST POT DATA
E-BALF4,580537,582534,1.57263 ,1.57448 ,1.57632 ,1.57683 ,1.57732 ,1.57947 ,1.57957 ,1.58214 ,1.58711 ,1.58773 ,1.59308 ,1.59810 ,53.71 ,53.42 ,42.90 ,0.010791 ,0.010897 ,0.003251 ,0.002569 ,0.013509 ,0.005969 ,0.002735 ,0.008162 ,0.3013 ,0.2381 ,0.5531 ,0.2510 ,0.2358 ,0.4907 ,-0.0009 ,-0.0011 ,2.45999845E+00,-1.40695372E-02,1.04962988E-02,1.54266669E-03,-1.69174126E-04,9.43510859E-06,0.00000000E+00,100,539,580,3.13 ,1,4,,511(5),131,,,,,37/33,,356/326,,,,,,0.11,0.41,0.68,0.85,0.926,0.968,0.986,0.996,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.995,0.979,0.931,0.870,1,Y,TEST POT DATA
E-BAF3,583465,586462,1.57478 ,1.57683 ,1.57893 ,1.57952 ,1.58007 ,1.58256 ,1.58267 ,1.58565 ,1.59146 ,1.59220 ,1.59857 ,1.60461 ,46.48 ,46.19 ,36.64 ,0.012536 ,0.012680 ,0.003744 ,0.002978 ,0.015904 ,0.007112 ,0.003153 ,0.009527 ,0.2987 ,0.2376 ,0.5673 ,0.2487 ,0.2349 ,0.5029 ,0.0005 ,0.0009 ,2.43868193E+00,1.60996098E-03,2.68882943E-02,-2.44657917E-03,3.96566086E-04,-1.97304590E-05,0.00000000E+00,76,577,617,2.77 ,1,1,,521(5),97,,,,,39/35,,377/358,,,,,,,,0.08,0.45,0.76,0.901,0.958,0.984,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.989,0.999,0.988,0.977,0.900,0.86,1,Y,TEST POT DATA
E-BAF4,606438,609435,1.59704 ,1.59924 ,1.60151 ,1.60216 ,1.60277 ,1.60550 ,1.60562 ,1.60891 ,1.61535 ,1.61617 ,1.62326 ,1.63002 ,43.77 ,43.47 ,34.32 ,0.013837 ,0.014008 ,0.004105 ,0.003287 ,0.017644 ,0.007912 ,0.003460 ,0.010548 ,0.2967 ,0.2376 ,0.5718 ,0.2470 ,0.2347 ,0.5066 ,0.0012 ,0.0009 ,2.50495857E+00,3.32474118E-03,2.83142796E-02,-2.04413784E-03,3.34309924E-04,-1.53485779E-05,0.00000000E+00,75,593,638,2.89 ,2,1,,482(5),108,,,,,38/35,,375/348,,,,,,,,0.02,0.33,0.70,0.88,0.956,0.989,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.990,0.925,0.900,1,Y,TEST POT DATA
E-BAF8,624470,627468,1.61537 ,1.61756 ,1.61978 ,1.62040 ,1.62099 ,1.62362 ,1.62374 ,1.62689 ,1.63304 ,1.63381 ,1.64049 ,1.64681 ,47.04 ,46.76 ,37.23 ,0.013259 ,0.013406 ,0.003962 ,0.003153 ,0.016753 ,0.007456 ,0.003336 ,0.010070 ,0.2988 ,0.2378 ,0.5623 ,0.2488 ,0.2352 ,0.4985 ,-0.0035 ,-0.0031 ,2.58072694E+00,-8.26682499E-03,1.92773695E-02,2.87391647E-04,1.54399962E-05,4.63747358E-07,0.00000000E+00,80,590,640,3.14 ,1,2,,511(5),124,,,,,38/35,,371/346,,,,,,,,0.12,0.47,0.73,0.86,0.921,0.849,0.974,0.981,0.986,0.990,0.994,0.997,0.997,0.998,0.999,,,,,,,,,,,1,Y,TEST POT DATA
