  0.160000000000000D+02,  0.939906000000000D+00
  0.000000000000000D+00,  0.000000000000000D+00,  4,  5,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  4,  5,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.100813487625550D+01,  0.895852137110959D+02,  0,  9,  0.333333333333333D+00
  0.100685138155136D+01,  0.880953923794963D+02,  0,  9,  0.333333333333333D+00
  0.100619148076560D+01,  0.858570955494046D+02,  0,  9,  0.333333333333333D+00
  0.100619148076561D+01,  0.858570955495565D+02,  0,  9,  0.333333333333333D+00
  0.100685138155136D+01,  0.880953923794963D+02,  0,  9,  0.333333333333333D+00
  0.100813487625550D+01,  0.895852137110959D+02,  0,  9,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.100619148076560D+01,  0.858570955495565D+02,  0,  9,  0.333333333333333D+00
  0.100415413469266D+01,  0.747550156122687D+02,  0,  9,  0.333333333333333D+00
  0.100275844822466D+01,  0.648584820698970D+02,  0,  9,  0.333333333333333D+00
  0.100205212398943D+01,  0.594739477157526D+02,  0,  9,  0.333333333333333D+00
  0.100205212398934D+01,  0.594739477152967D+02,  0,  9,  0.333333333333333D+00
  0.100275844822466D+01,  0.648584820698970D+02,  0,  9,  0.333333333333333D+00
  0.100415413469266D+01,  0.747550156124207D+02,  0,  9,  0.333333333333333D+00
  0.100619148076560D+01,  0.858570955494046D+02,  0,  9,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.100552120907581D+01,  0.828052356731915D+02,  0,  9,  0.333333333333333D+00
  0.100275844822480D+01,  0.648584820706568D+02,  0,  9,  0.333333333333333D+00
  0.100062642988953D+01,  0.482938372866178D+02,  0,  9,  0.333333333333333D+00
  0.999187901433042D+00,  0.371222069877129D+02,  0,  9,  0.333333333333333D+00
  0.998465348282781D+00,  0.317314753624568D+02,  0,  9,  0.333333333333333D+00
  0.998465348282781D+00,  0.317314753624568D+02,  0,  9,  0.333333333333333D+00
  0.999187901433042D+00,  0.371222069874090D+02,  0,  9,  0.333333333333333D+00
  0.100062642988953D+01,  0.482938372866178D+02,  0,  9,  0.333333333333333D+00
  0.100275844822466D+01,  0.648584820698970D+02,  0,  9,  0.333333333333333D+00
  0.100552120907581D+01,  0.828052356730396D+02,  0,  9,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.100619148076560D+01,  0.858570955495565D+02,  0,  9,  0.333333333333333D+00
  0.100275844822480D+01,  0.648584820706568D+02,  0,  9,  0.333333333333333D+00
  0.999908453569868D+00,  0.426675244487576D+02,  0,  9,  0.333333333333333D+00
  0.997741326841211D+00,  0.265650275242961D+02,  0,  9,  0.333333333333333D+00
  0.996290818428168D+00,  0.171657879492471D+02,  0,  9,  0.333333333333333D+00
  0.995565213811356D+00,  0.130550678484186D+02,  0,  9,  0.333333333333333D+00
  0.995565213811356D+00,  0.130550678482667D+02,  0,  9,  0.333333333333333D+00
  0.996290818428167D+00,  0.171657879492471D+02,  0,  9,  0.333333333333333D+00
  0.997741326841211D+00,  0.265650275244480D+02,  0,  9,  0.333333333333333D+00
  0.999908453569869D+00,  0.426675244487576D+02,  0,  9,  0.333333333333333D+00
  0.100275844822466D+01,  0.648584820697450D+02,  0,  9,  0.333333333333333D+00
  0.100619148076565D+01,  0.858570955494046D+02,  0,  9,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.100813487625550D+01,  0.895852137110959D+02,  0,  9,  0.333333333333333D+00
  0.100415413469266D+01,  0.747550156122687D+02,  0,  9,  0.333333333333333D+00
  0.100062642988953D+01,  0.482938372866178D+02,  0,  9,  0.333333333333333D+00
  0.997741326841211D+00,  0.265650275242961D+02,  0,  9,  0.333333333333333D+00
  0.995565213811356D+00,  0.130550678485706D+02,  0,  9,  0.333333333333333D+00
  0.994115273907754D+00,  0.629367681626052D+01,  0,  9,  0.333333333333333D+00
  0.993391641702044D+00,  0.374747077737589D+01,  0,  9,  0.333333333333333D+00
  0.993391641702044D+00,  0.374747077737589D+01,  0,  9,  0.333333333333333D+00
  0.994115273907753D+00,  0.629367681626052D+01,  0,  9,  0.333333333333333D+00
  0.995565213811355D+00,  0.130550678484186D+02,  0,  9,  0.333333333333333D+00
  0.997741326841212D+00,  0.265650275242961D+02,  0,  9,  0.333333333333333D+00
  0.100062642988953D+01,  0.482938372867697D+02,  0,  9,  0.333333333333333D+00
  0.100415413469266D+01,  0.747550156122687D+02,  0,  9,  0.333333333333333D+00
  0.100813487625550D+01,  0.895852137109440D+02,  0,  9,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.100685138155136D+01,  0.880953923794963D+02,  0,  9,  0.333333333333333D+00
  0.100275844822466D+01,  0.648584820698970D+02,  0,  9,  0.333333333333333D+00
  0.999187901433042D+00,  0.371222069877129D+02,  0,  9,  0.333333333333333D+00
  0.996290818428168D+00,  0.171657879492471D+02,  0,  9,  0.333333333333333D+00
  0.994115273907754D+00,  0.629367681626052D+01,  0,  9,  0.333333333333333D+00
  0.992669327446057D+00,  0.182291495547770D+01,  0,  9,  0.333333333333333D+00
  0.991948621422786D+00,  0.565974789960583D+00,  0,  9,  0.333333333333333D+00
  0.991948621422787D+00,  0.565974789960583D+00,  0,  9,  0.333333333333333D+00
  0.992669327446056D+00,  0.182291495547770D+01,  0,  9,  0.333333333333333D+00
  0.994115273907754D+00,  0.629367681626052D+01,  0,  9,  0.333333333333333D+00
  0.996290818428168D+00,  0.171657879492471D+02,  0,  9,  0.333333333333333D+00
  0.999187901433042D+00,  0.371222069875610D+02,  0,  9,  0.333333333333333D+00
  0.100275844822466D+01,  0.648584820698970D+02,  0,  9,  0.333333333333333D+00
  0.100685138155136D+01,  0.880953923794963D+02,  0,  9,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.100619148076561D+01,  0.858570955494046D+02,  0,  9,  0.333333333333333D+00
  0.100205212398943D+01,  0.594739477157526D+02,  0,  9,  0.333333333333333D+00
  0.998465348282781D+00,  0.317314753624568D+02,  0,  9,  0.333333333333333D+00
  0.995565213811356D+00,  0.130550678484186D+02,  0,  9,  0.333333333333333D+00
  0.993391641702044D+00,  0.374747077722393D+01,  0,  9,  0.333333333333333D+00
  0.991948621422787D+00,  0.565974789960583D+00,  0,  9,  0.333333333333333D+00
  0.991229792391450D+00,  0.203488639069589D-01,  0,  9,  0.333333333333333D+00
  0.991229792391507D+00,  0.203488639069589D-01,  0,  9,  0.333333333333333D+00
  0.991948621422787D+00,  0.565974789960583D+00,  0,  9,  0.333333333333333D+00
  0.993391641702044D+00,  0.374747077722393D+01,  0,  9,  0.333333333333333D+00
  0.995565213811355D+00,  0.130550678482667D+02,  0,  9,  0.333333333333333D+00
  0.998465348282781D+00,  0.317314753624568D+02,  0,  9,  0.333333333333333D+00
  0.100205212398934D+01,  0.594739477151447D+02,  0,  9,  0.333333333333333D+00
  0.100619148076560D+01,  0.858570955497085D+02,  0,  9,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.000000000000000D+00,  0.000000000000000D+00,  6,  2,  0.333333333333333D+00
  0.100619148076561D+01,  0.858570955495565D+02,  0,  9,  0.333333333333333D+00
  0.100205212398935D+01,  0.594739477152967D+02,  0,  9,  0.333333333333333D+00
  0.998465348282781D+00,  0.317314753624568D+02,  0,  9,  0.333333333333333D+00
  0.995565213811356D+00,  0.130550678482667D+02,  0,  9,  0.333333333333333D+00
  0.993391641702045D+00,  0.374747077737589D+01,  0,  9,  0.333333333333333D+00
  0.991948621422786D+00,  0.565974789960583D+00,  0,  9,  0.333333333333333D+00
