    0  0.000000000000000D+00  0.000000000000000D+00 -0.100000000000000D+20 -0.300000000000000D-19 -0.300000000000000D-19  0.100000000000000D+01 1       0
    1 -0.300000000000000D+00 -0.300000000000000D+00  0.500000000000000D+02 -0.300000000000000D-19 -0.300000000000000D-19  0.100000000000000D+01 1       1
    2 -0.300000000000000D+00 -0.300000000000000D+00  0.100000000000000D+03 -0.300000000000000D-19 -0.300000000000000D-19  0.100000000000000D+01 1       2
    3 -0.300000000000000D+00 -0.300000000000000D+00  0.150107179676972D+03 -0.300000000000000D-19  0.756231015308639D-17  0.100000000000000D+01 1       3
    4 -0.300000000000000D+00 -0.436631504045736D+02  0.750000000000000D+02 -0.300000000000000D-19 -0.500000000000000D+00 -0.866025403784439D+00 1       4
    5 -0.300000000000000D+00 -0.868700384292826D+02  0.149836525295735D+03 -0.300000000000000D-19 -0.500000000000000D+00  0.866025403784439D+00 1       5
    4  0.103663057399906D+01 -0.384593252748736D+02  0.750000000000000D+02  0.149947813443448D-01  0.543088024915007D+00 -0.839541871336000D+00 1       6
    3  0.233556805522391D+01  0.858620176327382D+01  0.147726129090723D+03  0.149947813443448D-01  0.543088024915007D+00  0.839541871336000D+00 1       7
    6  0.455377547230997D+01  0.160652113156728D+02  0.000000000000000D+00  0.149947813443448D-01  0.505570903995121D-01 -0.998608600575206D+00 1       8
    0  0.000000000000000D+00  0.000000000000000D+00 -0.100000000000000D+20 -0.300000000000000D-19 -0.100000000000000D-19  0.100000000000000D+01 1       0
    1 -0.300000000000000D+00 -0.100000000000000D+00  0.500000000000000D+02 -0.300000000000000D-19 -0.100000000000000D-19  0.100000000000000D+01 1       1
    2 -0.300000000000000D+00 -0.100000000000000D+00  0.100000000000000D+03 -0.300000000000000D-19 -0.100000000000000D-19  0.100000000000000D+01 1       2
    3 -0.300000000000000D+00 -0.100000000000001D+00  0.150053589838486D+03 -0.300000000000000D-19  0.756231015308639D-17  0.100000000000000D+01 1       3
    4 -0.300000000000000D+00 -0.434322102968978D+02  0.750000000000000D+02 -0.300000000000000D-19 -0.500000000000000D+00 -0.866025403784439D+00 1       4
    5 -0.300000000000000D+00 -0.866991127459499D+02  0.149940473327885D+03 -0.300000000000000D-19 -0.500000000000000D+00  0.866025403784439D+00 1       5
    4  0.103009928615618D+01 -0.392777239535570D+02  0.750000000000000D+02  0.149964908924155D-01  0.534662662052814D+00 -0.844932507995468D+00 1       6
    3  0.232839396883594D+01  0.700975063969191D+01  0.148148537896194D+03  0.149964908924155D-01  0.534662662052814D+00  0.844932507995468D+00 1       7
    6  0.455218286190541D+01  0.130250530230110D+02  0.000000000000000D+00  0.149964908924155D-01  0.405651937950174D-01 -0.999064347433781D+00 1       8
    0  0.000000000000000D+00  0.000000000000000D+00 -0.100000000000000D+20 -0.300000000000000D-19  0.100000000000000D-19  0.100000000000000D+01 1       0
    1 -0.300000000000000D+00  0.100000000000000D+00  0.500000000000000D+02 -0.300000000000000D-19  0.100000000000000D-19  0.100000000000000D+01 1       1
    2 -0.300000000000000D+00  0.100000000000000D+00  0.100000000000000D+03 -0.300000000000000D-19  0.100000000000000D-19  0.100000000000000D+01 1       2
    3 -0.300000000000000D+00  0.100000000000000D+00  0.150000000000000D+03 -0.300000000000000D-19  0.756231015308639D-17  0.100000000000000D+01 1       3
    4 -0.300000000000000D+00 -0.432012701892219D+02  0.750000000000000D+02 -0.300000000000000D-19 -0.500000000000000D+00 -0.866025403784439D+00 1       4
    5 -0.300000000000000D+00 -0.865276867365553D+02  0.150043554769874D+03 -0.300000000000000D-19 -0.500000000000000D+00  0.866025403784439D+00 1       5
    4  0.102373527350637D+01 -0.400856733511350D+02  0.750000000000000D+02  0.149978251959373D-01  0.526184662781487D+00 -0.850238064246082D+00 1       6
    3  0.232144698977975D+01  0.544332788031450D+01  0.148568259609575D+03  0.149978251959373D-01  0.526184662781487D+00  0.850238064246082D+00 1       7
    2  0.305028791648842D+01  0.692893337193036D+01  0.100000000000000D+03  0.149978251959373D-01  0.305702529274749D-01 -0.999420094292356D+00 1       8
    6  0.455094067318094D+01  0.998773247973900D+01  0.000000000000000D+00  0.149978251959373D-01  0.305702529274749D-01 -0.999420094292356D+00 1       9
    0  0.000000000000000D+00  0.000000000000000D+00 -0.100000000000000D+20 -0.300000000000000D-19  0.300000000000000D-19  0.100000000000000D+01 1       0
    1 -0.300000000000000D+00  0.300000000000000D+00  0.500000000000000D+02 -0.300000000000000D-19  0.300000000000000D-19  0.100000000000000D+01 1       1
    2 -0.300000000000000D+00  0.300000000000000D+00  0.100000000000000D+03 -0.300000000000000D-19  0.300000000000000D-19  0.100000000000000D+01 1       2
    3 -0.300000000000000D+00  0.300000000000001D+00  0.149946410161514D+03 -0.300000000000000D-19  0.756231015308639D-17  0.100000000000000D+01 1       3
