E-SK10	623570	625568	2.58912326E+00	-1.00115186E-02	1.56165805E-02	3.28758605E-04	-9.84858579E-06	7.82877169E-07
E-SK11	564607	566604	2.41034365E+00	-1.01286559E-02	1.26748412E-02	2.57347078E-04	-6.24279133E-06	3.35932224E-07
E-SK14	603607	605604	2.53104523E+00	-1.07742896E-02	1.40100006E-02	2.47886041E-04	-1.08816440E-06	1.03415548E-07
SSK1	617540	620537	2.57748788E+00	-1.54662497E-02	1.13586312E-02	1.65192829E-03	-1.73326357E-04	9.05896644E-06
SSK2	622531	625528	2.59124283E+00	-1.42720620E-02	1.23965569E-02	1.53774031E-03	-1.59274472E-04	8.55211131E-06
SSK8	618498	621495	2.57047824E+00	-1.19686463E-02	1.49712411E-02	1.12845548E-03	-1.10413826E-04	7.39815032E-06
E-SSK5	658509	662506	2.69603796E+00	-1.00729839E-02	1.88657945E-02	3.68038490E-04	4.06084448E-06	4.57460676E-07
LLF1	548459	551456	2.36244770E+00	-1.63494262E-02	8.89478091E-03	2.31190317E-03	-2.57493976E-04	1.45785865E-05
LLF2	541472	543469	2.31105643E+00	3.59211226E-03	2.63534925E-02	-2.86181740E-03	4.42961085E-04	-2.22792621E-05
LLF6	532491	534489	2.32685824E+00	-2.49616765E-02	2.97923069E-03	3.16439159E-03	-3.49877266E-04	1.77722950E-05
E-LLF6	532489	534486	2.30466000E+00	-8.64131348E-03	1.45944618E-02	2.06597874E-04	1.88931616E-05	1.82626789E-07
LF5	581408	585405	2.43925205E+00	-5.11667564E-03	2.19191218E-02	-3.08089017E-04	1.18117319E-04	-4.40904664E-06
LF6	567427	570424	2.40261610E+00	-5.31026402E-03	1.70623068E-02	9.92586995E-04	-1.10715814E-04	9.21295404E-06
LF7	575415	578413	2.44082413E+00	-2.00211912E-02	1.08969922E-02	2.34339594E-03	-2.19822218E-04	1.22182331E-05
F1	626356	630354	2.56251919E+00	-3.14623487E-03	2.91600242E-02	-8.70730012E-04	2.26533195E-04	-8.61239946E-06
F2	620363	624361	2.54500231E+00	-1.33739584E-03	2.80115116E-02	-5.41702056E-04	1.50175374E-04	-3.61707105E-06
F3	613370	617367	2.52228312E+00	-1.04823034E-03	2.93957650E-02	-1.39163033E-03	2.89680505E-04	-1.26508887E-05
F5	603381	607378	2.52772484E+00	-2.38190802E-02	1.02050370E-02	3.48057562E-03	-3.60361530E-04	2.05731116E-05
F8	596392	599390	2.47286461E+00	-1.51192688E-03	2.76004612E-02	-1.52550371E-03	2.90711488E-04	-1.28484326E-05
E-F2	620363	624360	2.55739282E+00	-1.07951229E-02	2.16807328E-02	1.05165979E-03	-5.36309816E-05	7.74663260E-06
E-F5	603380	607377	2.50863619E+00	-1.01869365E-02	2.04516474E-02	8.41069518E-04	-3.63565381E-05	5.99712664E-06
SF1	717295	723293	2.83980255E+00	-4.46912848E-03	3.46402774E-02	1.33432152E-03	-5.45176218E-05	1.21472370E-05
SF2	648338	652336	2.61248197E+00	7.29483777E-03	3.84492910E-02	-2.45987671E-03	4.24747462E-04	-1.66886537E-05
SF4	755276	762274	2.98811860E+00	-3.04351419E-02	2.37723015E-02	5.09742843E-03	-4.37946262E-04	3.02583492E-05
SF5	673322	678319	2.73599051E+00	-2.72414957E-02	1.39469595E-02	4.88372822E-03	-4.99741390E-04	2.99608896E-05
SF6	805254	813252	3.08079909E+00	1.53003460E-02	6.35013413E-02	-2.96353510E-03	6.02637382E-04	-1.59089060E-05
SF7	640346	644343	2.60224509E+00	-2.28272809E-03	3.13239043E-02	-1.10981516E-03	2.84472430E-04	-1.20544670E-05
SF8	689311	694309	2.79885778E+00	-3.71809306E-02	7.63019059E-03	7.23169098E-03	-8.07384722E-04	4.69666667E-05
SF9	654339	659336	2.66134201E+00	-1.18790253E-02	2.32806084E-02	1.77772926E-03	-1.29854871E-04	1.13874848E-05
SF10	728283	734281	2.84208461E+00	1.64157556E-02	5.20604565E-02	-2.61046253E-03	4.46976968E-04	-9.42982950E-06
SF11	785258	792256	3.12748662E+00	-6.37466047E-02	-9.89095735E-04	1.36391329E-02	-1.58882387E-03	9.64633339E-05
SF13	741276	747274	2.92262988E+00	-1.15001781E-02	2.87583512E-02	4.47285534E-03	-4.97300597E-04	4.08937236E-05
SF14	762266	769263	2.98384614E+00	-1.28995609E-02	3.56396640E-02	2.96907641E-03	-2.22699050E-04	2.67423649E-05
SF15	699301	704299	2.78711802E+00	-6.95062776E-03	3.01601609E-02	2.07608960E-03	-1.85596160E-04	2.04732508E-05
SF03	847239	855237	3.26133538E+00	-1.83279183E-02	4.15516996E-02	4.94908982E-03	-3.88454792E-04	3.83701444E-05
E-SF1	717295	723293	2.84827856E+00	-1.22548479E-02	3.16736954E-02	1.70745362E-03	-7.33008941E-05	1.41012815E-05
E-SF2	648338	652335	2.63429594E+00	-9.20840209E-03	2.74266023E-02	2.25441472E-04	9.97644221E-05	1.76259116E-08
E-SF4	755275	762273	2.96469762E+00	-1.28650713E-02	3.57299793E-02	2.16572877E-03	-1.02243404E-04	1.82439835E-05
E-SF5	673321	678319	2.71201742E+00	-1.11228641E-02	2.76913413E-02	1.13193687E-03	-2.42250640E-05	8.91515336E-06
E-SF6	805254	813252	3.11783700E+00	-1.19410737E-02	4.43602265E-02	1.81348056E-03	4.69669929E-06	1.61754136E-05
E-SF8	689311	694308	2.76155381E+00	-1.16348386E-02	2.86355735E-02	1.55293137E-03	-7.94510589E-05	1.28609539E-05
E-SF10	728285	734282	2.87968193E+00	-1.23038115E-02	3.34430250E-02	1.83471163E-03	-8.12508073E-05	1.59440837E-05
E-SF11	785257	792255	3.05654935E+00	-1.43159709E-02	3.81593027E-02	3.15675913E-03	-2.23523385E-04	2.90021069E-05
E-SF13	741278	747276	2.92006212E+00	-1.34436038E-02	3.33556844E-02	2.46092959E-03	-1.60492168E-04	2.11511846E-05
E-SF14	762266	769263	2.98384614E+00	-1.28995609E-02	3.56396640E-02	2.96907641E-03	-2.22699050E-04	2.67423649E-05
E-SF15	699301	704299	2.79031580E+00	-1.18464509E-02	3.05751341E-02	1.41030608E-03	-4.15895631E-05	1.14740935E-05
E-SF03	847238	855236	3.25492893E+00	-1.56026034E-02	4.58228209E-02	3.72736340E-03	-2.38976694E-04	3.42745142E-05
SFS3	785262	792260	3.07140213E+00	-2.16887500E-02	2.94388740E-02	5.49853168E-03	-5.38091643E-04	4.13175377E-05
E-SFS3	785263	792261	3.05701152E+00	-1.32251945E-02	3.90853018E-02	2.51480160E-03	-1.31876542E-04	2.24898958E-05
LAK7	652586	654583	2.68414559E+00	-1.28217464E-02	1.52099894E-02	5.79102080E-04	-4.19789548E-05	2.32621016E-06
LAK9	691548	694546	2.78211953E+00	3.86988792E-03	3.22993842E-02	-3.17915886E-03	4.35836848E-04	-2.06224134E-05
LAK12	678554	681552	2.78094755E+00	-2.36624998E-02	8.67653717E-03	2.94181002E-03	-3.51554137E-04	1.84406503E-05
LAK04	651562	654559	2.67680860E+00	-1.02173269E-02	1.77389501E-02	2.82247162E-05	4.32740016E-05	-2.15847266E-06
LAK09	734515	737513	2.95310231E+00	-1.96724731E-02	1.74257922E-02	1.52866545E-03	-1.37028672E-04	6.72353302E-06
