BSM 6   ,614564, 2.56013390E+00,-9.37119900E-03, 1.52909330E-02, 4.07405660E-04,-2.19562850E-05, 1.57389840E-06
BSM 7   ,607594, 2.54321340E+00,-1.02068000E-02, 1.39832160E-02, 4.59632350E-04,-3.29632430E-05, 1.94134240E-06
BSM10   ,623571, 2.58911090E+00,-9.87915480E-03, 1.55504740E-02, 3.66427610E-04,-1.82978180E-05, 1.46015320E-06
BSM14   ,603607, 2.53087960E+00,-1.04557380E-02, 1.39330440E-02, 3.17257210E-04,-1.64976110E-05, 1.12119810E-06
BSM15   ,623582, 2.59024950E+00,-9.88685810E-03, 1.56564590E-02, 2.11755330E-04, 5.76394450E-06,-3.13457390E-08
BSM16   ,620603, 2.58592630E+00,-1.14351010E-02, 1.38729580E-02, 5.16961830E-04,-3.76829340E-05, 2.05844860E-06
BSM16C  ,620603, 2.58585050E+00,-1.14259770E-02, 1.39247030E-02, 5.03430540E-04,-3.60746590E-05, 1.99126270E-06
BSM21   ,617540, 2.56786870E+00,-8.65733330E-03, 1.65913750E-02, 2.86554470E-04,-3.48867540E-06, 8.92755200E-07
BSM23   ,615512, 2.56005970E+00,-9.74572490E-03, 1.59705940E-02, 6.68021150E-04,-4.41728220E-05, 3.10249310E-06
BSM24   ,618551, 2.56958000E+00,-8.64665840E-03, 1.69031440E-02, 7.62494400E-05, 2.61385320E-05,-7.46703540E-07
BSM25   ,658509, 2.69474800E+00,-9.56408700E-03, 1.97191880E-02, 1.35169530E-04, 3.25055310E-05,-8.79946330E-07
BSM28   ,618498, 2.56808780E+00,-1.04671580E-02, 1.66019650E-02, 5.80934780E-04,-2.35620880E-05, 2.23114220E-06
S-BSM36 ,643584, 2.65467110E+00,-1.28193650E-02, 1.51971930E-02, 5.04208210E-04,-3.49956340E-05, 2.04926820E-06
S-BSM93 ,641569, 2.64812670E+00,-1.15534710E-02, 1.55175310E-02, 5.32117310E-04,-3.39068700E-05, 2.09934600E-06
PBL 1   ,548458, 2.34896630E+00,-7.58698730E-03, 1.66847620E-02, 1.71476370E-04, 2.51947770E-05, 1.85238640E-07
PBL 2   ,541472, 2.33021660E+00,-8.54749690E-03, 1.47886120E-02, 4.80170660E-04,-1.92215770E-05, 2.17100050E-06
PBL 6   ,532489, 2.30366850E+00,-7.60283550E-03, 1.48112050E-02, 2.41825270E-04, 4.83929640E-06, 8.93954060E-07
PBL21   ,573426, 2.42385690E+00,-9.49400650E-03, 1.62066390E-02, 1.01051490E-03,-7.26837610E-05, 5.41984920E-06
PBL22   ,589411, 2.46662200E+00,-7.60717280E-03, 2.01652400E-02, 2.82791730E-04, 3.08791560E-05, 6.64717430E-07
PBL25   ,581408, 2.44655090E+00,-9.77684640E-03, 1.75311200E-02, 9.52508890E-04,-5.48377610E-05, 4.73038990E-06
PBL27   ,575415, 2.42693320E+00,-8.97898950E-03, 1.75783850E-02, 7.91254170E-04,-4.30168970E-05, 4.24745520E-06
PBM 1   ,626357, 2.57438490E+00,-1.00024640E-02, 2.16638200E-02, 1.34632940E-03,-8.38872310E-05, 7.81547220E-06
PBM 2   ,620363, 2.55696570E+00,-9.70562990E-03, 2.13425100E-02, 1.23993670E-03,-7.44993340E-05, 7.14564400E-06
PBM 4   ,617366, 2.54637240E+00,-9.34462640E-03, 2.14622470E-02, 1.05198900E-03,-4.85041810E-05, 5.61837450E-06
PBM 5   ,603380, 2.50783690E+00,-8.94715200E-03, 2.04694590E-02, 8.91144940E-04,-3.63125770E-05, 4.54779060E-06
PBM 6   ,636354, 2.60400040E+00,-8.95032630E-03, 2.38118010E-02, 9.70805920E-04,-3.07074940E-05, 5.43972010E-06
PBM 8   ,596392, 2.48428990E+00,-8.26298250E-03, 2.04129220E-02, 5.96546540E-04,-4.99917570E-06, 2.80601920E-06
PBM 9   ,620381, 2.56023230E+00,-9.56320180E-03, 2.14950890E-02, 8.50711910E-04,-3.35357270E-05, 4.89532550E-06
PBM22   ,648338, 2.63603140E+00,-8.94508760E-03, 2.52280560E-02, 1.11209430E-03,-3.78873870E-05, 6.37609730E-06
